FUNDS_STI,TARGET_STI,AFRentCoverageRatio,AFRentMaxCollectionRate,atom_stis,fundGap,desiredCollection,floorSti,capacities,totalCapacity,maxCollectible,collectionBudget,atom_rents,ending_atom_stis,ending_FUNDS_STI
950.0,1000.0,0.5,1.0,20 20 100,50.0,25.0,20.0,0 0 80,80.0,80.0,25.0,0 0 25,20 20 75,975.0
950.0,1000.0,0.5,1.0,80 100 200,50.0,25.0,80.0,0 20 120,140.0,140.0,25.0,0 3.57143 21.4286,80 96.4286 178.571,975.0
950.0,1000.0,0.5,1.0,20 20 20,50.0,25.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,950.0
950.0,1000.0,1.0,0.1,20 100 200,50.0,50.0,20.0,0 80 180,260.0,26.0,26.0,0 8 18,20 92 182,976.0
950.0,1000.0,1.0,0.1,20 20 100,50.0,50.0,20.0,0 0 80,80.0,8.0,8.0,0 0 8,20 20 92,958.0
950.0,1000.0,1.0,0.1,80 100 200,50.0,50.0,80.0,0 20 120,140.0,14.0,14.0,0 2 12,80 98 188,964.0
950.0,1000.0,1.0,0.1,20 20 20,50.0,50.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,950.0
950.0,1000.0,1.0,0.25,20 100 200,50.0,50.0,20.0,0 80 180,260.0,65.0,50.0,0 15.3846 34.6154,20 84.6154 165.385,1000.0
950.0,1000.0,1.0,0.25,20 20 100,50.0,50.0,20.0,0 0 80,80.0,20.0,20.0,0 0 20,20 20 80,970.0
950.0,1000.0,1.0,0.25,80 100 200,50.0,50.0,80.0,0 20 120,140.0,35.0,35.0,0 5 30,80 95 170,985.0
950.0,1000.0,1.0,0.25,20 20 20,50.0,50.0,20.0,0 0 0,0.0,0.0,0.0,0 0 0,20 20 20,950.0
950.0,1000.0,1.0,0.5,20 100 200,50.0,50.0,20.0,0 80 180,260.0,130.0,50.0,0 15.3846 34.6154,20 84.6154 165.385,1000.0
950.0,1000.0,1.0,0.5,20 20 100,50.0,50.0,20.0,0 0 80,80.0,40.0,40.0,0 0 40,20 20 60,990.0
