FUNDS_STI,TARGET_STI,coverage_ratio,expected_outflow,required_fund,deficit,atom_stis,STI_floor,total_capacity,max_collection_rate,max_collectible,rent_budget,atom_rents,ending_FUNDS_STI
500.0,1000.0,1.5,250.0,1000.0,500.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,517.5
500.0,1000.0,1.5,250.0,1000.0,500.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,543.75
500.0,1000.0,1.5,250.0,1000.0,500.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,587.5
500.0,1000.0,1.5,250.0,1000.0,500.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,675.0
500.0,1000.0,1.5,250.0,1000.0,500.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,513.0
500.0,1000.0,1.5,250.0,1000.0,500.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,532.5
500.0,1000.0,1.5,250.0,1000.0,500.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,565.0
500.0,1000.0,1.5,250.0,1000.0,500.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,630.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,540.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,600.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,700.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,0.0,400.0,1.0,400.0,400.0,100 100 200,900.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,532.5
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,581.25
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,662.5
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,25.0,325.0,1.0,325.0,325.0,75 75 175,825.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,525.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,562.5
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,625.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,750.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,517.5
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,543.75
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,587.5
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,675.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,513.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,532.5
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,565.0
500.0,1000.0,1.5,500.0,1000.0,500.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,630.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,540.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,600.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,700.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,0.0,400.0,1.0,400.0,400.0,100 100 200,900.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,532.5
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,581.25
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,662.5
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,25.0,325.0,1.0,325.0,325.0,75 75 175,825.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,525.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,562.5
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,625.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,750.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,517.5
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,543.75
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,587.5
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,675.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,513.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,532.5
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,565.0
500.0,1000.0,1.5,750.0,1125.0,625.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,630.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,540.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,600.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,700.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,0.0,400.0,1.0,400.0,400.0,100 100 200,900.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,532.5
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,581.25
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,662.5
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,25.0,325.0,1.0,325.0,325.0,75 75 175,825.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,525.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,562.5
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,625.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,750.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,517.5
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,543.75
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,587.5
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,675.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,513.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,532.5
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,565.0
500.0,1000.0,1.5,1000.0,1500.0,1000.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,630.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,540.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,600.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,700.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,0.0,400.0,1.0,400.0,400.0,100 100 200,900.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,532.5
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,581.25
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,662.5
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,25.0,325.0,1.0,325.0,325.0,75 75 175,825.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,525.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,562.5
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,625.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,750.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,517.5
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,543.75
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,587.5
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,675.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,513.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,532.5
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,565.0
500.0,1000.0,1.5,1250.0,1875.0,1375.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,630.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,790.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,850.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,950.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,0.0,400.0,1.0,400.0,250.0,62.5 62.5 125,1000.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,782.5
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,831.25
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,912.5
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,25.0,325.0,1.0,325.0,250.0,57.6923 57.6923 134.615,1000.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,775.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,812.5
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,875.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,1000.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,767.5
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,793.75
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,837.5
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,925.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,763.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,782.5
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,815.0
750.0,1000.0,1.0,250.0,1000.0,250.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,880.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,790.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,850.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,950.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,0.0,400.0,1.0,400.0,250.0,62.5 62.5 125,1000.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,782.5
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,831.25
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,912.5
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,25.0,325.0,1.0,325.0,250.0,57.6923 57.6923 134.615,1000.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,775.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,812.5
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,875.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,1000.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,767.5
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,793.75
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,837.5
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,925.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,763.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,782.5
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,815.0
750.0,1000.0,1.0,500.0,1000.0,250.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,880.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,790.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,850.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,950.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,0.0,400.0,1.0,400.0,250.0,62.5 62.5 125,1000.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,782.5
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,831.25
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,912.5
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,25.0,325.0,1.0,325.0,250.0,57.6923 57.6923 134.615,1000.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,775.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,812.5
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,875.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,1000.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,767.5
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,793.75
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,837.5
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,925.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,763.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,782.5
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,815.0
750.0,1000.0,1.0,750.0,1000.0,250.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,880.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,790.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,850.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,950.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,0.0,400.0,1.0,400.0,250.0,62.5 62.5 125,1000.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,782.5
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,831.25
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,912.5
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,25.0,325.0,1.0,325.0,250.0,57.6923 57.6923 134.615,1000.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,775.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,812.5
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,875.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,1000.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,767.5
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,793.75
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,837.5
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,925.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,763.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,782.5
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,815.0
750.0,1000.0,1.0,1000.0,1000.0,250.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,880.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,790.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,850.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,950.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,0.0,400.0,1.0,400.0,400.0,100 100 200,1150.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,782.5
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,831.25
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,912.5
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,25.0,325.0,1.0,325.0,325.0,75 75 175,1075.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,775.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,812.5
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,875.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,1000.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,767.5
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,793.75
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,837.5
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,925.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,763.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,782.5
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,815.0
750.0,1000.0,1.0,1250.0,1250.0,500.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,880.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,790.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,850.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,950.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,0.0,400.0,1.0,400.0,250.0,62.5 62.5 125,1000.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,25.0,325.0,0.1,32.5,32.5,7.5 7.5 17.5,782.5
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,25.0,325.0,0.25,81.25,81.25,18.75 18.75 43.75,831.25
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,25.0,325.0,0.5,162.5,162.5,37.5 37.5 87.5,912.5
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,25.0,325.0,1.0,325.0,250.0,57.6923 57.6923 134.615,1000.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,50.0,250.0,0.1,25.0,25.0,5 5 15,775.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,50.0,250.0,0.25,62.5,62.5,12.5 12.5 37.5,812.5
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,50.0,250.0,0.5,125.0,125.0,25 25 75,875.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,50.0,250.0,1.0,250.0,250.0,50 50 150,1000.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,75.0,175.0,0.1,17.5,17.5,2.5 2.5 12.5,767.5
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,75.0,175.0,0.25,43.75,43.75,6.25 6.25 31.25,793.75
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,75.0,175.0,0.5,87.5,87.5,12.5 12.5 62.5,837.5
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,75.0,175.0,1.0,175.0,175.0,25 25 125,925.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,90.0,130.0,0.1,13.0,13.0,1 1 11,763.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,90.0,130.0,0.25,32.5,32.5,2.5 2.5 27.5,782.5
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,90.0,130.0,0.5,65.0,65.0,5 5 55,815.0
750.0,1000.0,1.2,250.0,1000.0,250.0,100 100 200,90.0,130.0,1.0,130.0,130.0,10 10 110,880.0
750.0,1000.0,1.2,500.0,1000.0,250.0,100 100 200,0.0,400.0,0.1,40.0,40.0,10 10 20,790.0
750.0,1000.0,1.2,500.0,1000.0,250.0,100 100 200,0.0,400.0,0.25,100.0,100.0,25 25 50,850.0
750.0,1000.0,1.2,500.0,1000.0,250.0,100 100 200,0.0,400.0,0.5,200.0,200.0,50 50 100,950.0
750.0,1000.0,1.2,500.0,1000.0,250.0,100 100 200,0.0,400.0,1.0,400.0,250.0,62.5 62.5 125,1000.0
